TID,EN
TID_BRAWL_PASS_BACK_TO_CURRENT_SEASON,НАЗАД ДО МИНУЛОГО СЕЗОНА
TID_BRAWL_PASS_PREVIOUS_SEASON,МИНУЛИЙ СЕЗЕОН
TID_BRAWL_PASS_PREVIOUS_SEASON_INFO,НАТИСНИ СЮДИ ЩОБ ЗАБРАТИ НАГОРОДИ!
TID_BRAWL_PASS_UNLOCK_INFO,Преміумні нагороди
TID_BRAWL_PASS_UNLOCK_LABEL,Дістаньте нагороди і додаткові квести
TID_BRAWLPASS_PURCHASE_ERROR_3,Цей сезон бравл паса уже куплений
TID_BRAWLPASS_PURCHASE_ERROR_4,Вибачте цей сезон бравл паса уже недоступний
TID_BRAWLPASS_PURCHASE_ERROR_5,Неможливо купити збір бравл паса бо ви вже дістали усі нагороди
TID_BRAWLPASS_PURCHASE_ERROR_6,Не можна купити бравл пас з негативним балансом гемів
TID_PURCHASE_BRAWL_PASS_PROGRESS_TITLE,Купити ячейку?
TID_PURCHASE_BRAWL_PASS_PROGRESS_INFO,Купити <NUM> токенів щоб перейти на наступну ячейку бравл паса
TID_PURCHASE_BRAWL_PASS_TITLE,ДІСТАТИ БРАВЛ ПАСС
TID_PURCHASE_BRAWL_PASS_TITLE_PLAIN,БРАВЛ ПАСС
TID_PURCHASE_BRAWL_PASS_TITLE_BUNDLE,НАБІР БРАВЛ ПАССВ
TID_PURCHASE_BRAWL_PASS_INFO_PLAIN,Відкрий Бравл Пассні Нагороди додаткові нагороди та + 2 перезаписування квестів
TID_PURCHASE_BRAWL_PASS_INFO_BUNDLE,БРАВЛ ПАСС + <NUM> РІВЕНЬ
TID_BRAWL_PASS_CANNOT_PURCHASE_BRAWL_PASS_FOR_PAST_SEASON,Минулий сезон Бравл пасса не можна купити
TID_BRAWL_PASS_CANNOT_PURCHASE_NO_SEASON_FOUND,"Теперішний сезон Бравл Пасса не можна знайти, попробуте пізнше"
TID_BRAWL_PASS_CANNOT_PURCHASE_ALREADY_UNLOCKED,Теперішній Бравл Пасс уже було відкрито
TID_TAKEDOWNS_LABEL,Вбивств
TID_DEFEAT_LABEL,Поразка
TID_UNDERDOG,Аутсайдер
TID_ACCESSORY,Гаджет
TID_BATTLE_END_COIN_SHOWER,Золотий дощ
TID_LFG_POPUP_TITLE_MEMBER,ШУКАТИ НАПАРНИКА
TID_LFG_POPUP_TITLE_TEAM,ШУКАТИ КОМАНДУ
TID_LFG_POPUP_INFO_MEMBER,Шукати гравців для команди для тебе
TID_LFG_POPUP_INFO_TEAM,Шукати гравців для твоєї команди
TID_LFG_POPUP_EVENT_LABEL_MEMBER,Кратерія режиму (tap to change)
TID_LFG_POPUP_EVENT_LABEL_TEAM,Я хочу пограти (натисни для зміни)
TID_LFG_POPUP_START_SEARCH,ПОЧАТИ
TID_LFG_NO_ROOM_FOR_PLAYERS,Цей режим не підтримує більше гравців
TID_LOOKING_FOR_A_TEAM,ШУКАЄ КОМАНДУ
TID_LOOKING_FOR_A_MEMBER,ШУКАЄ НАПАРНИКА
TID_CC_TEASER_TITLE,Скоро буде!
TID_CC_TEASER_INFO,"Підготуйся до <WIN>-перемог чемпіонату\n\nГрай з друзями або використай\qШукати команду\q функцію щоб збільшити твої шанси\n\nЧемпіонат буде тривати<DURATION> годин, тому врахуй це"
TID_CC_POPUP_TITLE,Чемпіонат
TID_CC_POPUP_1_TITLE,Кубок PSG
TID_CC_POPUP_TITLE_PSG_21,Кубок PSG 2021
TID_CC_POPUP_DESC,"Вигравай нагороди з кожною перемогою! Потрібно <WINS> виграшів щоб виграти, але <LOSSES> програшів і ти не зможеш грати"
TID_CC_POPUP_1_DESC,"Вигравай нагороди з кожною перемогою! Потрібно <WINS> виграшів щоб виграти кубок, але <LOSSES> програшів і ти не зможеш грати"
TID_CC_POPUP_WINS,<WINS>/<MAX> перемог
TID_CC_POPUP_WINS_FOR_EVENT,Рівень <LEVEL>
TID_POPUP_WINS_FOR_EVENT_PSG_1,Чверть-фінал
TID_POPUP_WINS_FOR_EVENT_PSG_2,Пів-фінал
TID_POPUP_WINS_FOR_EVENT_PSG_3,Фінал
TID_CC_POPUP_QUALIFY_INFO,Виграйте чемпіонат щоб перейти до наступного етапу!
TID_CC_POPUP_QUALIFY_INFO_PSG,Виграй чемпіонат щоб виграти скін PSG Шеллі
TID_CC_POPUP_QUALIFY_INFO_COMPLETED,Чемпіонат пройдено
TID_CC_POPUP_CHALLENGE_OVER,Чемпіонат закінчився
TID_CC_POPUP_OUT_OF_LIVES,Закінчилися спроби :(
TID_CC_POPUP_BUY_LIVES,Купити <NUM> більше?
TID_CC_POPUP_COMPLETED,ЧЕМПІОНАТ ПРОЙДЕНО
TID_CC_POPUP_LEVEL,Рівень <LEVEL>
TID_CC_POPUP_WIN,ВИГРАШ
TID_CC_POPUP_LOSSES,ПРОГРАШ
TID_QUALIFIED_TITLE,Онлайн кваліфікацію розблоковано
TID_QUALIFIED_INFO,"Ого, ти пройшов чемпіонат! Чудово! \n\nЩоб продовжити свій шлях до чемпіонату, іди до<cFFE400><URL></c>"
TID_QUALIFIED_INFO_HUB,"Ого, ти пройшов чемпіонат! Чудово! \n\nЩоб продовжити свій шлях до чемпіонату, клікни на кнопку кіберспорт на головномі екрані"
TID_QUALIFIED_INFO_PSG,Чудово! Ти виграв чемпіонат PSG і отримав скін PSG шеллі
TID_QUALIFIED_GO,ВПЕРЕД!
TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE,ЧЕМПІОНАТ
TID_BATTLE_END_CC_WIN_LABEL,Винагорода за перемогу #<AMOUNT>
TID_BATTLE_END_CC_DEFEAT_0,Ти програв :(\nУдачі наступний раз!
TID_BATTLE_END_CC_DEFEAT_1,Один програш і ти вилетів. Постарайся та виграй!
TID_BATTLE_END_CC_DEFEAT_2,"Ти програв цей матч, але наступного разу тобі може пощастити"
TID_BATTLE_END_CC_DRAW_DESC,Зіграй ще раз щоб виграти
TID_BATTLE_END_CC_QUALIFY_LABEL,КВАЛІФОКОВАНО!
TID_BATTLE_END_CC_QUALIFY_INFO,Вітаємо! Тобі доступний наступний наступний етап чемпіонату.\nПеревір вхідні для інформації
TID_PRO_LEAGUE_INFO_POPUP_TITLE,"Силова Ліга, сезонні нагороди."
TID_PRO_LEAGUE_INFO_POPUP_INFO,Нагороди на базі\n твоїх фінальних балах
TID_PRO_LEAGUE_INFO_POPUP_RANK,Ранг
TID_PRO_LEAGUE_INFO_POPUP_POINTS,Бали
TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO,Додаткові винагороди за досягнення\nвисоти світу
TID_PRO_LEAGUE_POPUP_REWARDS_LABEL,ВИНАГОРОДИ ПАВЕР ЛІГИ
TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL,ТОПИ ЛІГИ
TID_PRO_LEAGUE_SEASON_END_TIME,ЛІГА ЗАКІНЧУЄТЬСЯ ЗА
TID_PRO_LEAGUE_POPUP_TITLE,СИЛОВА ЛІГА
TID_EVENT_LABEL_PRO_LEAGUE,СИЛОВА ЛІГА
TID_PRO_LEAGUE_POPUP_INFO,"Постав свої скіли до перевірки в СИЛОВІЙ ЛІЗІ! Зіграйте 3 матчі кожен день щоб підніматися в топи. Коли ліга закінчується, ти отримаєш зоряні бали базовані на базі твоїх балів і ранку на топі ліги"
TID_PRO_LEAGUE_POPUP_CURRENT_SEASON,ТЕПЕРІШНЯ ЛІГА
TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON,МИНУЛА ЛІГА
TID_PRO_LEAGUE_LABEL,СИЛОВА ЛІГА
TID_TEAM_ERROR_38,Виберіть бравлера з 10 силою
TID_TEAM_ERROR_39,Неможна уже грати Силову Лігу
TID_PRO_LEAGUE_GAMES,<GAMESLEFT>/<MAXGAMES> Залишилося
TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE,СИЛОВА ЛІГА ЗАКІНЧИЛАСЯ
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS,Твої бали
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK,Твій ранг
TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS,Винагороди зоряних балів
TID_PRO_LEAGUE_SEASON_END_INFO_SHORT,Винагорода СИЛОВОЇ ЛІГИ: <AMOUNT> <cff00ff>Зоряних балів</c> отримано
TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY,Епічна Перемога (+3 Points):
TID_OVERWHELMING_VICTORY_GMV_0,"Виграй перед тим, як 15 кристалів з'явиться"
TID_OVERWHELMING_VICTORY_GMV_5,Виграй з рахунком 2-0
TID_OVERWHELMING_VICTORY_GMV_2,Виграй принаймі з 60% здоров'я у сейфа
TID_OVERWHELMING_VICTORY_GMV_11,Виграй принаймі з 80% здоров'я у бази
TID_OVERWHELMING_VICTORY_GMV_3,Виграй принаймі з 10 зірками більше ніж у ворогів
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0,Отримуй бали на базі твого рангу в матчі
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2,"Виграй 30 балів з перемоги, 15 з нічиєї і 5 за поразку"
TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL,Бали
TID_DOUBLE_TOKEN_WEEKEND,ПОДІЯ ПОДВІЙНИХ ТОКЕНІВ
TID_COIN_SHOWER_EVENT,ПОДІЯ ЗОЛОТОГО ДОЩУ
TID_RANKS_ADDED_TITLE,НОВИЙ РАНГ БРАВЛЕРА
TID_RANKS_ADDED_DESC,Бравлери можуть підніматися до 35 рангу з минулого рангу 20.\n\nТи отримаєш<cff00ff><STARPOINTS></c> Зоряні бали і <TOKENS> Токенів з бравлерів які ти прокачав
TID_SKINS_TITLE,Скін
TID_SKINS_BUTTON_LABEL,СКІН
TID_SKIN_PREVIEW,ОГЛЯНУТИ СКІН
TID_DEFAULT_SKIN,ТИПОВИЙ СКІН <HERO>
TID_HERO_LVL_UP_MATERIAL,Монетки
TID_TOKENS,Токени
TID_FIRST_WINS,Зіркові Токени
TID_CLUB_COINS,Монетки Клубу
TID_BUTTON_INBOX,ПОШТА
TID_INBOX_TITLE,ПОШТА
TID_INBOX_SYSTEM_SENDER,Система
TID_INBOX_SUPPORT_SENDER,Підтримка Brawl Stars
TID_INBOX_BRAWLSTARS_SENDER,Brawl Stars
TID_INBOX_AGE,<TIME> назад
TID_INBOX_CLAIM,ВЗЯТИ
TID_INBOX_VIEW,ПОДИВИТИСЯ
TID_INBOX_TAB_0,ПОШТА КЛУБУ
TID_INBOX_TAB_1,ПЕРСОНАЛЬНЕ
TID_INBOX_NO_ENTRIES,НЕМАЄ ЗАПИСІВ
TID_INBOX_CAPTION_99,Трофейна Ліга закінчилася
TID_INBOX_CAPTION_94,Покупка скіну: <NAME>
TID_INBOX_CAPTION_93,Покупка бравлера: <NAME>
TID_INBOX_CAPTION_93_WITH_LEVEL,Покупка бралера: <NAME> (рівень сили <LEVEL>)
TID_INBOX_CAPTION_92,Покупка <AMOUNT> балів сили для: <NAME>
TID_INBOX_CAPTION_91,Покупка <AMOUNT> квитків
TID_INBOX_CAPTION_90,Покупка <AMOUNT> <NAME>
TID_INBOX_CAPTION_89,Покупка <AMOUNT> гемів
TID_INBOX_CAPTION_88,Покупка: <AMOUNT> подвоєнь токенів
TID_INBOX_CAPTION_85,Відкликання <AMOUNT> гемів
TID_INBOX_CAPTION_84_4,Покупка пасівки <ABI> для <NAME>
TID_INBOX_CAPTION_84_5,Покупка гаджета <ABI> для <NAME>
TID_INBOX_CAPTION_78,Ранки бравлерів 25-30 тут!
TID_INBOX_CAPTION_76,Розблоковано онлайн кваліфікацію
TID_INBOX_CAPTION_75,<CHALLENGE> Винагорода за виграш:\n<NAME>
TID_INBOX_CAPTION_74,Компенсація квитків
TID_INBOX_CAPTION_73,Покупка: бравл пас
TID_INBOX_CAPTION_72_52,Покупка: Емозі
TID_INBOX_CAPTION_71,Покупка <AMOUNT> токенів до бравл паса <SEASON>
TID_INBOX_CAPTION_70,<CHALLENGE> Винагорода за виграш
TID_INBOX_CAPTION_64,Покупка: <AMOUNT>x <NAME>
TID_INBOX_NEW,Нове
TID_BAND_MAIL_POPUP_TITLE,Пошта клубу
TID_BAND_MAIL_POPUP_DEFAULT_TXT,Напиши своє повідомлення тут
TID_BAND_MAIL_POPUP_POST,Надіслати
TID_BAND_MAIL_POPUP_NO_MSG,Пам'ятай написати повідомлення
TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS,Ця функція недоступна для акаунтів гостей
TID_REVOKE_TITLE,Повідомлення від підтримки
TID_REVOKE_OK,Зрозумів
TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS,Неможна надіслати запит на приєднання. Ти вже в команді
TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE,Неможна надіслати запит на приєднання. Ти вже маєш запит на команду
TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST,Неможна надіслати запит на приєднання. Ти вже маєш запит на приєднання
TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED,Запит на приєднання скасовано
TID_TEAM_JOIN_REQUEST_POPUP_TITLE,Я ХОЧУ ПРИЄДНАТИСЯ В ТВОЮ КОМАНДУ
TID_BATTLE_LOG_TVST_RESULT_0,<c00ff00>ПЕРЕМОГА! </c>
TID_BATTLE_LOG_TVST_RESULT_1,<ccc0000>Програш</c>
TID_BATTLE_LOG_TVST_RESULT_2,<ccccccc>Нічия</c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_0,<c00ff00>РАНГ <RANK></c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_1,<ccc0000>РАНГ <RANK></c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_2,<ccccccc>РАНГ <RANK></c>
TID_BATTLE_LOG_AGE,<TIME> тому
TID_BATTLE_LOG_HERO_LEVEL_LABEL,РІВЕНЬ
TID_BATTLE_LOG_TVST_VERSUS,ПРОТИ
TID_BATTLE_LOG_TITLE,РЕПЛЕЇ БИТВ
TID_BATTLE_LOG_REPLAY,ПЕРЕГРАТИ
TID_BATTLE_LOG_MVP,ЗІРКОВИЙ ГРАВЕЦЬ
TID_BATTLE_LOG_FRIENDLY,ДРУЖНІЙ
TID_BATTLE_LOG_TOURNAMENT,ТУРНІР
TID_BATTLE_LOG_PVP,РАНГ
TID_BATTLE_LOG_PRO_LEAGUE,СИЛОВА ГРА
TID_BATTLE_LOG_RANKED,ПАВЕР ЛІГА
TID_BATTLE_LOG_NO_ENTRIES,БЕЗ ЗАПИСІВ
TID_BATTLE_LOG_THIS_IS_A_BOT,Це є бот
TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED,Наразі відтворення вимкнено
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE,Відтворення ще немає
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW,Неможливо відтворити: Надто мало кубків бравлера
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES,Досягніть <NUM> трофеїв Бравлера щоб відкрити відтворення
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR,Немає повтору: не вдалося записувати (серверна помилка)
TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED,Відтворення більше не доступне
TID_PLAYER_XP_LEVEL,РІВЕНЬ
TID_PLAYER_RANK_TIER_0,I
TID_PLAYER_RANK_TIER_1,II
TID_PLAYER_RANK_TIER_2,III
TID_PLAYER_RANK_TIER_3,IV
TID_PLAYER_RANK_TIER_4,V
TID_PLAYER_RANK_TIER_5,VI
TID_ADD_FRIEND_FAILED,Не вийшло додати друга
TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED,Термін дії посилання сплив
TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL,"Не вдається додати друга, його(її) список друзів повний!"
TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL,"Не вдається додати друга, ваш список друзів повний!"
TID_ADD_FRIEND_FAILED_BANNED,"Не вдається додати друга, користувач заблокованй!"
TID_KEYPOOL_KEYS_REMAINING,<VALUE> залишилося
TID_KEYPOOL_NEXT_PATCH,<KEYS> токенів за <TIME>
TID_TOP_HUD_NEXT_REWARD,Наступна нагорода
TID_RANK_UP_REWARD_REPLACED_TITLE,Пітрвердити альтернативну винагороду
TID_RANK_UP_REWARD_REPLACED_POWER,Жоден з твоїх Бравлерів не може бути вибраний для отримання <AMOUNT> балів сили.\n\nЗабрати альтернативну нагороду?
TID_RANK_UP_REWARD_REPLACED_HERO,Оскільки ти вже маєш <NAME> ти отримаєш альтернативну нагороду
TID_RANK_UP_REWARD_REPLACED_PIN,Оскільки ти вже маєш цю емозі ти отримаєш альтернативну нагороду
TID_RANK_UP_REWARD_REPLACED_SKIN,Оскільки ти вже маєш <NAME> ти отримаєш альтернативну нагороду
TID_RANK_UP_REWARD_REPLACED_GEN,Оскільки ти вже маєш цю річ ти отримаєш альтернативну нагороду
TID_PLAYER_INFO_SEND_FRIEND_REQUEST,Надіслати запит на дружбу
TID_PLAYER_INFO_REMOVE_FRIEND,Видалити з списку друзів
TID_PLAYER_INFO_FRIEND_REQUEST_SENT,Запит на дружбу надіслано
TID_PLAYER_INFO_IS_YOUR_FRIEND,ІГРОВИЙ\nДРУГ
TID_POWER_POINTS,Бали сили
TID_HERO_INFO_LEVEL,Сила
TID_HERO_INFO_LEVEL_LONG,Рівень сили
TID_HERO_INFO_RANK,Ранг
TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL,Прокачати до <LVL>
TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL,Натисніть щераз щоб підтвердити
TID_HERO_INFO_MAX_LEVEL,Максимальна сила
TID_HERO_INFO_MORE_POWER_NEEDED,Зберіть більше сили щоб прокачати
TID_HERO_INFO_LEVEL_UP_ERROR_4,Бравлер немає достатньо балів сили для прокачування
TID_HERO_INFO_LEVEL_UP_ERROR_3,Ти не маєш достатньо монет
TID_HERO_INFO_LEVEL_UP_ERROR_5,Бравлер уже на максимальному рівні
TID_HERO_INFO_LEVEL_UP_PRICE_MISSING,<cff6034><AMOUNT></c>
TID_HERO_INFO_LEVEL_UP_PRICE,<AMOUNT>
TID_HERO_INFO_STARTING_HERO,Початковий бравлер
TID_HERO_INFO_STAR_POWER_EQUIP,ВИБРАТИ
TID_HERO_INFO_STAR_POWER_EQUIPPED,ВИБРАНО
TID_PLAYER_REPORTED_SUCCESSFULLY,Гравець оскаржений
TID_TOO_MANY_REPORTS_SENT,Денний ліміт скарг вичерпано
TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT,Почекайте перед тим як надсилати ще одну скаргу
TID_CHOOSE_CHARACTER,Вибрати бравлера
TID_ARMOR,Здоров'я
TID_ARMOR_DESC,Показує скільки шкоди може отримати бравлер перед тим як померти
TID_SHOTGUN_GIRL,ШЕЛЛІ
TID_SHOTGUN_GIRL_DESC,Шеллі вкриває противників шквалом снарядів із свого дробовика. Її Супер руйнує укриття і тримає суперників на відстані!
TID_LONG_RANGE_SHOTGUN,велика рушниця
TID_LONG_RANGE_SHOTGUN_DESC,"Атака Шеллі стріляє широким розповсюдженням куль на середній діапазон. Чим більше куль попаде, тим більша шкода."
TID_MEGA_BLASH_ULTI,БУ-УМ!
TID_MEGA_BLASH_ULTI_DESC,"Суператака від Шеллі знищує як укриття, так і ворогів. Усіх, хто вижив, відкидає."
TID_GUNSLINGER,КОЛЬТ
TID_GUNSLINGER_DESC,Вистріли з його револьверів надзвичайно точні. Його Супер знищує укриття ще й летить на більшу дистанцію!
TID_RAPID_FIRE,ПО ТРИ НА КОЖЕН
TID_RAPID_FIRE_DESC,Кольт вистрілює шість куль на велику відстань зі своїх револьверів
TID_RAPID_FIRE_ULTI,ШТОРМ КУЛЬ
TID_RAPID_FIRE_ULTI_DESC,Кольт стріляє кулями які летять далі і ламають стіни
TID_BULL_DUDE,БУЛЛ
TID_BULL_DUDE_DESC,Булл завдає величезної шкоди зблизька зі своєї рушниці. Його супер-атака пробивається через бар’єри та відкидає ворогів!
TID_SHOTGUN_BLAST,ПОДВІЙНЕ ДУЛО
TID_SHOTGUN_BLAST_DESC,"Двоствольна рушниця Була завдає великої шкоди. Він має дуже малу дальність дії, тому Булл любить підходити близько."
TID_CHARGE,БУЛЬДОЗЕР
TID_CHARGE_DESC,Булл опускає голову і пробивається крізь супротивників і перешкоди. Він завжди був наполегливим!
TID_ROCKET_GIRL,БРОК
TID_ROCKET_GIRL_DESC,"Брок запускає по ворогах вибухову ракету великої дальності. Його супер — це балістичний ракетний залп, який руйнує укриття!"
TID_FIREWORKS_WEAPON,РАКЕТА!
TID_FIREWORKS_WEAPON_DESC,"Брок запускає одну ракету, яка долає велику відстань."
TID_FIREWORKS_ULTI,РАКЕТНИЙ ДОЩ
TID_FIREWORKS_ULTI_DESC,"Брок запускає ракетний обстріл, який усуває ворогів і перешкоди. Він лише хоче бачити, як ви купаєтеся в Ракетному дощі!"
TID_TNT_DUDE,ДИНАМАЙК
TID_TNT_DUDE_DESC,"Динамайк кидає дві вибухові палиці динаміту. Його суператака — це ціла бочка, повна динаміту, який підриває укриття!"
TID_MORTAR,КОРОТКИЙ ЗАПОБІЖНИК
TID_MORTAR_DESC,"Майк кидає дві палиці динаміту, обходячи будь-які перешкоди на шляху. Запобіжники скорочені для шкидкого вибуху."
TID_MORTAR_ULTI,ВЕЛИКА БОЧКА - ВЕЛИКИЙ ВИБУХ
TID_MORTAR_ULTI_DESC,"Велика бочка динаміту підриває укриття. Усіх ворогів, які вижили, відкидає від удару!"
TID_LUCHADOR,ЕЛЬ ПРІМО
TID_LUCHADOR_DESC,"Ель Прімо кидає шквал ударів у своїх ворогів. Його суператака — це стрибок який завдає шкоди всім, хто потрапив під ним!"
TID_LUCHADOR_WEAPON,КУЛАКИ ЧЕСТІ
TID_LUCHADOR_WEAPON_DESC,Ель Прімо запускає шалений шквал чотирьох вогняних кулаків.
TID_LUCHADOR_ULTI,ЛІТАЮЧА ЛЮДИНА
TID_LUCHADOR_ULTI_DESC,"Високо підстрибнувши, Ель Прімо скидає міжгалактичний лікоть, який відкидує ворогів і руйнує укриття!"
TID_TRICKSHOT_DUDE_OLD,РІКО
TID_TRICKSHOT_DUDE_DESC,TID_BARKEEP
TID_TRICKSHOT_DUDE_WEAPON,Рикошетні кулі
TID_TRICKSHOT_DUDE_WEAPON_DESC,"Кулі Ріко відбиваються від стін, набираючи дальність. Вони можуть вражати ворогів за укриттям."
TID_TRICKSHOT_DUDE_ULTI,Трюк
TID_TRICKSHOT_DUDE_ULTI_DESC,"Ріко стріляє довгою серією пострілів, які пробивають ворогів і відбиваються від стін, набираючи дальність."
TID_CACTUS,СПАЙК
TID_CACTUS_DESC,"Спайк кидає гранати кактусів, які розлітаються на голки, і супер-поле з голками кактусів, яке сповільнює і завдає шкоди ворогам!"
TID_CACTUS_WEAPON,Колюча граната
TID_CACTUS_WEAPON_DESC,"Спайк вистрілює маленький кактус, який вибухає, стріляючи шипами в різні боки."
TID_CACTUS_ULTI,Прилипучка
TID_CACTUS_ULTI_DESC,"Спайк кидає колючу гранату. Вороги, що потрапили в зону вибуху, отримують пошкодження та сповільнюються."
TID_BARKEEP,БАРЛІ
TID_BARKEEP_DESC,"Барлі атакує, кидаючи пляшки у ворогів, завдаючи шкоди від бризок. Його суператака — це величезний шквал палаючих пляшок!"
TID_BARKEEP_WEAPON,Потужний
TID_BARKEEP_WEAPON_DESC,"Барлі кидає пляшку, розбиваючи її об землю. Вороги отримують пошкодження від бризок, а з часом вони отримують більше шкоди, якщо залишаються в калюжі."
TID_BARKEEP_ULTI,Останій виклик
TID_BARKEEP_ULTI_DESC,"Барлі кидає шквал вогняних пляшок, охоплюючи величезну площу полум’ям."
TID_MECHANIC,ДЖЕСІ
TID_MECHANIC_DESC,"Ударна гвинтівка Джессі стріляє енергетичними кулями, які відскакують між ворогами. Її супер розгортає симпатичну, але смертельну гарматтний агригат"
TID_MECHANIC_WEAPON,Шокуюча зброя
