TID,DE
TID_PURCHASE_BRAWL_PASS_PROGRESS_TITLE,ПРОСУНУТИЙ РІВЕНЬ?
TID_PURCHASE_BRAWL_PASS_PROGRESS_INFO,Купити токени <NUM> і перейти на наступний рівень?
TID_PURCHASE_BRAWL_PASS_TITLE,ОТРИМАЙТЕ ПРОПУСК НА БІЙКУ!
TID_PURCHASE_BRAWL_PASS_TITLE_PLAIN,ПРОХІД БІЙКИ
TID_PURCHASE_BRAWL_PASS_TITLE_BUNDLE,ПАКЕТ BRAWL PASS
TID_PURCHASE_BRAWL_PASS_INFO_PLAIN,Розблокувати нагороди Brawl Pass і додаткові квести
TID_PURCHASE_BRAWL_PASS_INFO_BUNDLE,BRAWL PASS + <NUM> РІВНІ
TID_BRAWL_PASS_CANNOT_PURCHASE_BRAWL_PASS_FOR_PAST_SEASON,Минулі сезони Brawl Pass можна придбати
TID_BRAWL_PASS_CANNOT_PURCHASE_NO_SEASON_FOUND,"Поточний сезон Brawl Pass не знайдений, будь ласка, повторіть спробу пізніше."
TID_BRAWL_PASS_CANNOT_PURCHASE_ALREADY_UNLOCKED,Поточний сезон Brawl Pass вже розблокований
TID_TAKEDOWNS_LABEL,ТЕЙКДАУНЫ
TID_DEFEAT_LABEL,ПОРАЗКА
TID_UNDERDOG,АУТСАЙДЕР
TID_ACCESSORY,ГАДЖЕТ
TID_BATTLE_END_COIN_SHOWER,МОНЕТА ДУШ ПОДІЯ
TID_LFG_POPUP_TITLE_MEMBER,ШУКАЙТЕ ЧЛЕНА КЛУБУ
TID_LFG_POPUP_TITLE_TEAM,ШУКАЙ КОМАНДУ
TID_LFG_POPUP_INFO_MEMBER,"Шукайте гравців, які об'єднаються з вами"
TID_LFG_POPUP_INFO_TEAM,"Шукайте гравця, який приєднається до вашої нинішньої команді"
TID_LFG_POPUP_EVENT_LABEL_MEMBER,"Критерії події (натисніть, щоб змінити)"
TID_LFG_POPUP_EVENT_LABEL_TEAM,"Я хочу грати (натисніть, щоб змінити)"
TID_LFG_POPUP_START_SEARCH,ВПЕРЕД!
TID_LFG_NO_ROOM_FOR_PLAYERS,Цей ігровий режим більше не підтримує гравців
TID_LOOKING_FOR_A_TEAM,ШУКАЄМО КОМАНДУ
TID_LOOKING_FOR_A_MEMBER,ШУКАЮ ЧЛЕНА КЛУБУ
TID_CC_TEASER_TITLE,Скоро буде!
TID_CC_TEASER_INFO,"Приготуйтеся до <WIN>-win Championship Challenge!Грайте з друзями або використовуйте опцію \qLooking for Team\q, щоб збільшити свої шанси.\виклик буде жити тільки протягом декількох годин, так що зробіть це!"
TID_CC_POPUP_TITLE,ВИКЛИК НА ЧЕМПІОНАТ
TID_CC_POPUP_1_TITLE,КУБОК ПСЖ
TID_CC_POPUP_TITLE_PSG_21,КУБОК ПСЖ 2021
TID_CC_POPUP_DESC,"Заробляйте приголомшливі нагороди з кожною перемогою! Щоб справитися з цим завданням, потрібні <ПЕРЕМОГИ> перемоги, але <ВТРАТИ> втрати, і ви вилітаєте!"
TID_CC_POPUP_1_DESC,"Заробляйте приголомшливі нагороди з кожною перемогою! Щоб перемогти в Кубку, потрібні <ПЕРЕМОГИ>, а <ВТРАТИ> - і ти вилітаєш!"
TID_CC_POPUP_WINS,<ВИГРАШІ>/<МАКС> Перемоги
TID_CC_POPUP_WINS_FOR_EVENT,ЕТАП <РІВЕНЬ>
TID_POPUP_WINS_FOR_EVENT_PSG_1,ЧВЕРТЬФІНАЛИ
TID_POPUP_WINS_FOR_EVENT_PSG_2,ПІВФІНАЛИ
TID_POPUP_WINS_FOR_EVENT_PSG_3,ФІНАЛ
TID_CC_POPUP_QUALIFY_INFO,"Переможете виклик, щоб пройти кваліфікацію на наступний етап чемпіонату Brawl Stars Championship!"
TID_CC_POPUP_QUALIFY_INFO_PSG,"Переможете виклик, щоб виграти PSG Shelly Skin!"
TID_CC_POPUP_QUALIFY_INFO_COMPLETED,Завдання виконано!
TID_CC_POPUP_CHALLENGE_OVER,ВИКЛИК ЗАКІНЧЕНО
TID_CC_POPUP_OUT_OF_LIVES,БІЛЬШЕ НІЯКИХ СПРОБ
TID_CC_POPUP_BUY_LIVES,КУПИТИ <NUM> ЩЕ?
TID_CC_POPUP_COMPLETED,ЗАВДАННЯ ВИКОНАНО
TID_CC_POPUP_LEVEL,ЕТАП <РІВЕНЬ>
TID_CC_POPUP_WIN,Конкурси
TID_CC_POPUP_LOSSES,ВТРАТИ
TID_QUALIFIED_TITLE,Онлайн-квалификатор РОЗБЛОКОВАНО!
TID_QUALIFIED_INFO,"Ух ти, ти переміг в Чемпіонаті! ДИВНО! Щоб продовжити свою подорож до ЧЕМПІОНАТУ BRAWL STARS, перейдіть по посиланню <cFFE400><URL></c>"
TID_QUALIFIED_INFO_HUB,"Ух ти, ти переміг в Чемпіонаті! Щоб продовжити свою подорож у ЧЕМПІОНАТІ BRAWL STARS, перейдіть в новий розділ ESPORTS на головному екрані!"
TID_QUALIFIED_INFO_PSG,"Вітаю, ви виграли КУБОК ПСЖ! Ви розблокували скін PSG Shelly!"
TID_QUALIFIED_GO,ВПЕРЕД!
TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE,ВИКЛИК НА ЧЕМПІОНАТ
TID_BATTLE_END_CC_WIN_LABEL,НАГОРОДА ЗА ВИГРАШ #<СУМА>
TID_BATTLE_END_CC_DEFEAT_0,Випробуйте більше удачі наступного разу!
TID_BATTLE_END_CC_DEFEAT_1,"Ще одна втрата, і ти вилетиш. Продовжуйте боротися!"
TID_BATTLE_END_CC_DEFEAT_2,"Ви втратили цього, але ви все ще можете продовжувати!"
TID_BATTLE_END_CC_DRAW_DESC,"Грайте ще раз, щоб виграти!"
TID_BATTLE_END_CC_QUALIFY_LABEL,КВАЛІФІКОВАНИЙ!
TID_BATTLE_END_CC_QUALIFY_INFO,Вітаю! Ви маєте право на наступний етап чемпіонату Brawl Stars Championship.Перевірте свою поштову скриньку для отримання додаткової інформації.
TID_PRO_LEAGUE_INFO_POPUP_TITLE,Нагороди Ліги POWER PLAY
TID_PRO_LEAGUE_INFO_POPUP_INFO,Нагорода заснована на ваших підсумкових балах
TID_PRO_LEAGUE_INFO_POPUP_RANK,Рейтинг
TID_PRO_LEAGUE_INFO_POPUP_POINTS,Очки
TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO,Додаткова нагорода за досягнення вершини глобальній таблиці лідерів
TID_PRO_LEAGUE_POPUP_REWARDS_LABEL,НАГОРОДИ POWER PLAY LEAGUE END
TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL,ТУРНІРНА ТАБЛИЦЯ
TID_PRO_LEAGUE_SEASON_END_TIME,ЛІГА ЗАКІНЧУЄТЬСЯ В
TID_PRO_LEAGUE_POPUP_TITLE,СИЛОВА ГРА
TID_EVENT_LABEL_PRO_LEAGUE,СИЛОВА ГРА
TID_PRO_LEAGUE_POPUP_INFO,"Випробуйте свої навички в СИЛОВИЙ ГРІ! Змагаються в трьох щоденних матчах, щоб піднятися вгору по турнірній таблиці. Коли Ліга закінчиться, ви отримаєте Зоряні окуляри, засновані на ваших окулярах і рейтингу в глобальній таблиці ліги."
TID_PRO_LEAGUE_POPUP_CURRENT_SEASON,ПОТОЧНА ЛІГА
TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON,ПОПЕРЕДНЯ ЛІГА
TID_PRO_LEAGUE_LABEL,СИЛОВА ГРА
TID_TEAM_ERROR_38,Виберіть скандаліста 10-го рівня потужності!
TID_TEAM_ERROR_39,Сьогодні більше не залишилося силових ігор!
TID_PRO_LEAGUE_GAMES,<GAMESLEFT>/<MAXGAMES > БИТВИ ЗЛІВА
TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE,ЛІГА POWER PLAY ЗАКІНЧИЛАСЯ
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS,Ваші окуляри
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK,Ваш рейтинг
TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS,Нагорода за Зоряне очко
TID_PRO_LEAGUE_SEASON_END_INFO_SHORT,НАГОРОДА POWER PLAY: <СУМА> <cff00ff>Набрані зоряні окуляри</c>!
TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY,Епічна перемога (+3 очки):
TID_OVERWHELMING_VICTORY_GMV_0,"Виграйте до того, як з'явиться 15-й дорогоцінний камінь"
TID_OVERWHELMING_VICTORY_GMV_5,Перемога 2-0
TID_OVERWHELMING_VICTORY_GMV_2,Виграйте з запасом здоров'я не менше 60% на вашому сейфі
TID_OVERWHELMING_VICTORY_GMV_11,"Перемагайте, маючи на своїй базі не менше 80% здоров'я"
TID_OVERWHELMING_VICTORY_GMV_3,"Виграйте як мінімум на 10 зірок більше, ніж ворог"
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0,"Заробляйте очки, грунтуючись на вашому рейтингу в матчі"
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2,"Заробіть 30 очок від перемоги, 15 від нічиєї і втішний приз у розмірі 5 від поразки."
TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL,Очки
TID_DOUBLE_TOKEN_WEEKEND,ПОДІЯ ПОДВІЙНОГО ТОКЕНА
TID_COIN_SHOWER_EVENT,МОНЕТА ДУШ ПОДІЯ
TID_RANKS_ADDED_TITLE,Нові Ряди Скандалістів
TID_RANKS_ADDED_DESC,"Тепер забіяки можуть отримати ранг до 35, у порівнянні з попереднім вищим рангом 20.\n\nYou отримали <cff00ff><STARPOINTS></c> Star Points і <TOKENS> Жетони від ваших Забіяк, які зайняли більш високе місце!"
TID_SKINS_TITLE,Скіни
TID_SKINS_BUTTON_LABEL,Скіни
TID_SKIN_PREVIEW,ПОПЕРЕДНІЙ ПЕРЕГЛЯД ШКІРИ
TID_DEFAULT_SKIN,СКІН ЗА ЗАМОВЧУВАННЯМ <HERO>
TID_HERO_LVL_UP_MATERIAL,Монети
TID_TOKENS,Токени
TID_FIRST_WINS,Зоряні Жетони
TID_CLUB_COINS,Клубні монети
TID_BUTTON_INBOX,ВХІДНІ
TID_INBOX_TITLE,ВХІДНІ
TID_INBOX_SYSTEM_SENDER,Система
TID_INBOX_SUPPORT_SENDER,Підтримка Brawl Stars
TID_INBOX_BRAWLSTARS_SENDER,Brawl Stars
TID_INBOX_AGE,<ЧАС> назад
TID_INBOX_CLAIM,ПОЗОВ
TID_INBOX_VIEW,Вид
TID_INBOX_TAB_0,КЛУБНА ПОШТА
TID_INBOX_TAB_1,ОСОБИСТІ
TID_INBOX_NO_ENTRIES,НЕМАЄ ЗАПИСІВ
TID_INBOX_CAPTION_99,Трофейна ліга закінчилася
TID_INBOX_CAPTION_94,Пожертвування шкіри: <ІМ'Я>
TID_INBOX_CAPTION_93,Пожертвування скандаліста: <ІМ'Я>
TID_INBOX_CAPTION_93_WITH_LEVEL,Brawler donation: <ІМ'Я> (Рівень потужності <РІВЕНЬ>)
TID_INBOX_CAPTION_92,Пожертвування очок сили <СУМА> для <ІМ'Я>
TID_INBOX_CAPTION_91,Пожертвування квитків <СУМА>
TID_INBOX_CAPTION_90,Пожертвування <СУМИ> <ІМ'Я>
TID_INBOX_CAPTION_89,Пожертвування дорогоцінного каміння <СУМА>
TID_INBOX_CAPTION_88,Пожертвування <СУМИ> подвоювач токенів
TID_INBOX_CAPTION_85,Відгук дорогоцінного каміння <AMOUNT>
TID_INBOX_CAPTION_84_4,Пожертвування Зоряної сили <ABI> для <NAME>
TID_INBOX_CAPTION_84_5,Пожертвування гаджета <ABI> для <NAME>
TID_INBOX_CAPTION_78,Ряди скандалістів 21-30 вже тут!
TID_INBOX_CAPTION_76,Онлайн-квалификатор РОЗБЛОКОВАНО!
TID_INBOX_CAPTION_75,<ДЗВІНОК> нагорода за перемогу:\n<ІМ'Я>
TID_INBOX_CAPTION_74,Компенсація квитків
TID_INBOX_CAPTION_73,ПОЖЕРТВА: BRAWL PASS
TID_INBOX_CAPTION_72_52,ПОЖЕРТВА: PIN-КОД
TID_INBOX_CAPTION_71,ПОЖЕРТВА: <СУМА>ЖЕТОНИ НА СЕЗОН BRAWL PASS <СЕЗОН >
TID_INBOX_CAPTION_70,<ДЗВІНОК> нагорода за перемогу:
TID_INBOX_CAPTION_64,Пожертва: <СУМА>x <ІМ'Я>
TID_INBOX_NEW,НОВИНКА!
TID_BAND_MAIL_POPUP_TITLE,КЛУБНА ПОШТА
TID_BAND_MAIL_POPUP_DEFAULT_TXT,напишіть своє повідомлення тут...
TID_BAND_MAIL_POPUP_POST,Публікація
TID_BAND_MAIL_POPUP_NO_MSG,Не забудьте ввести повідомлення
TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS,Ця функція недоступна для демо - рахунків
TID_REVOKE_TITLE,Повідомлення від служби підтримки
TID_REVOKE_OK,Зрозумів
TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS,Не вдається надіслати запит на приєднання. Ви вже в команді
TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE,Не вдається надіслати запит на приєднання. У вас є чекає запрошення в команду
TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST,Не вдається надіслати запит на приєднання. У вас є очікує запит на приєднання
TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED,Запит на приєднання скасовано
TID_TEAM_JOIN_REQUEST_POPUP_TITLE,Я ХОЧУ ПРИЄДНАТИСЯ ДО ВАШОЇ КОМАНДИ
TID_BATTLE_LOG_TVST_RESULT_0,<c00ff00>ПЕРЕМОГА</c>
TID_BATTLE_LOG_TVST_RESULT_1,<ccc0000>ПОРАЗКУ</c>
TID_BATTLE_LOG_TVST_RESULT_2,<ccccccc>НІЧИЯ</c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_0,<c00ff00>РАНГ <РАНГ></c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_1,<ccc0000>РАНГ <РАНГ></c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_2,<ccccccc>РАНГ <РАНГ></c>
TID_BATTLE_LOG_AGE,<ЧАС> назад
TID_BATTLE_LOG_HERO_LEVEL_LABEL,ЛВЛ
TID_BATTLE_LOG_TVST_VERSUS,проти
TID_BATTLE_LOG_TITLE,БОЙОВИЙ ЖУРНАЛ
TID_BATTLE_LOG_REPLAY,ПОВТОР
TID_BATTLE_LOG_MVP,ЗОРЯНИЙ ГРАВЕЦЬ
TID_BATTLE_LOG_FRIENDLY,ДОБРОЗИЧЛИВИЙ
TID_BATTLE_LOG_TOURNAMENT,ТУРНІР
TID_BATTLE_LOG_PVP,Оцінка
TID_BATTLE_LOG_PRO_LEAGUE,СИЛОВА ГРА
TID_BATTLE_LOG_RANKED,ЛІГА ВЛАДИ
TID_BATTLE_LOG_NO_ENTRIES,НЕМАЄ ЗАПИСІВ
TID_BATTLE_LOG_THIS_IS_A_BOT,Це бот
TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED,Повтори в даний час відключено
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE,Повтору поки немає
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW,Немає повтору: занадто низькі трофеї скандаліста
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES,"Дістаньтеся до трофеїв <NUM> Brawler, щоб розблокувати повтори"
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR,Немає повтору: запис не вдалася
TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED,Повтор більше не доступний
TID_PLAYER_XP_LEVEL,Рівень
TID_PLAYER_RANK_TIER_0,Я
TID_PLAYER_RANK_TIER_1,II
TID_PLAYER_RANK_TIER_2,III
TID_PLAYER_RANK_TIER_3,IV
TID_PLAYER_RANK_TIER_4,V
TID_PLAYER_RANK_TIER_5,ВІ
TID_ADD_FRIEND_FAILED,Не вдалося додати друга
TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED,Термін дії посилання на одного минув!
TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL,"Неможливо додати одного, їх список друзів повний!"
TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL,"Неможливо додати друга, ваш список друзів повний!"
TID_ADD_FRIEND_FAILED_BANNED,"Неможливо додати друга, користувач забанений!"
TID_KEYPOOL_KEYS_REMAINING,<ЗНАЧЕННЯ> зліва
TID_KEYPOOL_NEXT_PATCH,#ERROR!
TID_TOP_HUD_NEXT_REWARD,Наступна Нагорода
TID_RANK_UP_REWARD_REPLACED_TITLE,Підтвердіть Альтернативне винагороду
TID_RANK_UP_REWARD_REPLACED_POWER,Жоден з ваших Забіяк не може бути обраний для отримання очок сили <КІЛЬКІСТЬ>.\n\n Вимагати альтернативного винагороди замість цього?
TID_RANK_UP_REWARD_REPLACED_HERO,"Оскільки у вас вже є <NAME>, ви отримаєте альтернативну нагороду."
TID_RANK_UP_REWARD_REPLACED_PIN,"Оскільки у вас вже є цей пін-код, ви отримаєте альтернативну нагороду."
TID_RANK_UP_REWARD_REPLACED_SKIN,"Оскільки у вас вже є <NAME>, ви отримаєте альтернативну нагороду."
TID_RANK_UP_REWARD_REPLACED_GEN,"Оскільки у вас вже є ця нагорода, ви отримаєте замість неї альтернативну нагороду."
TID_PLAYER_INFO_SEND_FRIEND_REQUEST,ВІДПРАВИТИ ЗАПИТ В ДРУЗІ
TID_PLAYER_INFO_REMOVE_FRIEND,ВИДАЛИТИ ЗІ СПИСКУ ДРУЗІВ
TID_PLAYER_INFO_FRIEND_REQUEST_SENT,ВІДПРАВЛЕНИЙ ЗАПИТ В ДРУЗІ
TID_PLAYER_INFO_IS_YOUR_FRIEND,У ГРІ\nFRIEND
TID_POWER_POINTS,ТОЧКИ ХАРЧУВАННЯ
TID_HERO_INFO_LEVEL,ВЛАДА
TID_HERO_INFO_LEVEL_LONG,РІВЕНЬ ПОТУЖНОСТІ
TID_HERO_INFO_RANK,РАНГ
TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL,ПІДВИЩЕННЯ ДО РІВНЯ ПОТУЖНОСТІ <LVL>
TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL,"НАТИСНІТЬ ЩЕ РАЗ, ЩОБ ПІДТВЕРДИТИ"
TID_HERO_INFO_MAX_LEVEL,МАКСИМАЛЬНА ПОТУЖНІСТЬ
TID_HERO_INFO_MORE_POWER_NEEDED,Зберіть більше енергії для оновлення!
TID_HERO_INFO_LEVEL_UP_ERROR_4,Скандалістові не вистачає Силових очок
TID_HERO_INFO_LEVEL_UP_ERROR_3,У вас недостатньо монет!
TID_HERO_INFO_LEVEL_UP_ERROR_5,Скандаліст вже на максимальному рівні потужності!
TID_HERO_INFO_LEVEL_UP_PRICE_MISSING,<cff6034><СУМА></c>
TID_HERO_INFO_LEVEL_UP_PRICE,<СУМА>
TID_HERO_INFO_STARTING_HERO,ПОЧАТКІВЕЦЬ СКАНДАЛІСТ
TID_HERO_INFO_STAR_POWER_EQUIP,ВИБЕРІТЬ
TID_HERO_INFO_STAR_POWER_EQUIPPED,ОБРАНЕ
TID_PLAYER_REPORTED_SUCCESSFULLY,Гравець прозвітував!
TID_TOO_MANY_REPORTS_SENT,Ваш щоденний ліміт звітності перевищено!
TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT,"Будь ласка, почекайте, перш ніж відправляти ще один звіт"
TID_CHOOSE_CHARACTER,ВИБЕРІТЬ BRAWLER
TID_ARMOR,Здоров'я
TID_ARMOR_DESC,"Уявляє, скільки сталого шкоди може поглинути Скандаліст, перш ніж впасти."
TID_SHOTGUN_GIRL,ШЕЛЛІ
TID_SHOTGUN_GIRL_DESC,Дробовик Шеллі стріляє в іншу команду картеччю. Її Супер руйнує укриття і тримає супротивників на відстані!
TID_LONG_RANGE_SHOTGUN,КАРТЕЧЧЮ
TID_LONG_RANGE_SHOTGUN_DESC,"Стріла Шеллі стріляє широким спектром гранул на середній дальності. Чим більше куль потрапить, тим більше шкоди."
TID_MEGA_BLASH_ULTI,СУПЕР ОБОЛОНКА
TID_MEGA_BLASH_ULTI_DESC,"Супер-снаряд Шеллі знищує як укриття, так і ворогів. Всі вижили будуть відкинуті назад."
TID_GUNSLINGER,КОЛЬТ
TID_GUNSLINGER_DESC,Кольт випускає точну чергу куль зі своїх здвоєних револьверів. Його Супер шматки прикривають і розширюють загороджувальний вогонь куль!
TID_RAPID_FIRE,ШЕСТИЗАРЯДНИКИ
TID_RAPID_FIRE_DESC,Кольт стріляє шість разів поспіль своїх револьверів.
TID_RAPID_FIRE_ULTI,КУЛЬОВИЙ ШТОРМ
TID_RAPID_FIRE_ULTI_DESC,"Кольт гримить потужної чергою куль, які стріляють дуже далеко і руйнують укриття."
TID_BULL_DUDE,БИК
TID_BULL_DUDE_DESC,Бик завдає величезної шкоди з близької відстані зі свого дробовика. Для свого Супер ходу він кидається через бар'єри і відкидає ворогів!
TID_SHOTGUN_BLAST,ДВОСТВОЛКА
TID_SHOTGUN_BLAST_DESC,"Двоствольну рушницю Бика завдає тяжкої шкоди. У нього дуже коротка дистанція, тому Бик любить підходити близько і особисто."
TID_CHARGE,БУЛЬДОЗЕР
TID_CHARGE_DESC,Бик опускає голову і бульдозером пробирається крізь супротивників і перешкоди. Він завжди був впертим!
TID_ROCKET_GIRL,БРОК
TID_ROCKET_GIRL_DESC,"Брок стріляє по ворогам далекобійної розривною ракетою. Його Супер-це балістичний ракетний шквал, який руйнує прикриття!"
TID_FIREWORKS_WEAPON,РОК-РАКЕТА
TID_FIREWORKS_WEAPON_DESC,"Брок дозволяє літати з однією-єдиною Ракетою, яка дійсно долає відстань."
TID_FIREWORKS_ULTI,РАКЕТНИЙ ДОЩ
TID_FIREWORKS_ULTI_DESC,"Брок запускає ракетний обстріл, який знищує ворогів і перешкоди. Він тільки хоче бачити, як ти купаєшся в Ракетний Дощ!"
TID_TNT_DUDE,ДИНАМІК
TID_TNT_DUDE_DESC,"Динамік кидає дві підривні шашки динаміту. Його Супер атака - це ціла бочка динаміту, яка підриває укриття!"
TID_MORTAR,КОРОТКИЙ ЗАПОБІЖНИК
TID_MORTAR_DESC,"Майк кидає дві динамітні шашки, обходячи всі перешкоди на своєму шляху. Запобіжники обрізані так само коротко, як вибуховий характер Майка!"
TID_MORTAR_ULTI,ВЕЛИКА БОЧКА О БУМ
TID_MORTAR_ULTI_DESC,Велика-бада-бочка динаміту підриває укриття. Будь-які вижили вороги будуть відкинуті назад при ударі!
TID_LUCHADOR,EL PRIMO
TID_LUCHADOR_DESC,"Ель Прімо обрушує на своїх ворогів шквал ударів. Його Супер - це стрибаючий падіння ліктя, яке завдає шкоди всім, що опинилися під ним!"
TID_LUCHADOR_WEAPON,КУЛАКИ ЛЮТІ
TID_LUCHADOR_WEAPON_DESC,Ель Прімо випускає лютий шквал з чотирьох вогняних кулаків. Це гострий сендвіч з рулькой халапеньо!
TID_LUCHADOR_ULTI,ПАДІННЯ ЛЕТИТЬ ЛІКТЯ
TID_LUCHADOR_ULTI_DESC,"Високо підстрибнувши, Ель Прімо роняє Міжгалактичний Лікоть, який збиває ворогів з ніг і руйнує укриття!"
TID_TRICKSHOT_DUDE_OLD,РИКОШЕТ
TID_TRICKSHOT_DUDE_DESC,"Ріко випускає чергу з куль, які відскакують від стін. Його Супер-вибух-це довгий шквал пружних куль, які пронизують мети!"
TID_TRICKSHOT_DUDE_WEAPON,ПРУЖНІ КУЛІ
TID_TRICKSHOT_DUDE_WEAPON_DESC,"Кулі Ріко відскакують від стін, збільшуючи дальність стрільби. Вони можуть вражати ворогів через укриття."
TID_TRICKSHOT_DUDE_ULTI,ТРЮК ПОСТРІЛ
TID_TRICKSHOT_DUDE_ULTI_DESC,"Ріко випускає довгу чергу куль, які пронизують ворогів наскрізь і відскакують від стін, збільшуючи дальність стрільби."
TID_CACTUS,СПАЙК
